nbhd_code,UHI2003,UHI2004,UHI2005,UHI2006,UHI2007,UHI2008,UHI2009,UHI2010,UHI2011,UHITREND,Cities_urbanLST_count
atlanta_057,1.243306655,1.446539957,1.164215585,1.525323593,1.305637735,1.21698857,1.407726322,1.426702502,1.42675506,0.142161284,9
atlanta_058,1.050034101,0.995149671,1.060225972,0.97490249,0.787288288,0.83907271,0.966218183,1.131184606,1.158047232,0.086051995,2
atlanta_059,1.249050607,1.184584459,1.288596139,1.174268845,0.995973691,1.188948872,1.141963546,1.289154557,1.33955422,0.066189931,3
atlanta_060,2.010955095,1.902964896,1.807564752,1.709947209,1.623567864,1.82957671,1.809924826,1.805047377,1.895231292,-0.10538302,1
atlanta_061,1.403375922,1.452033504,1.31969295,1.255923886,1.088656895,1.085692154,1.360376986,1.422274844,1.458912633,0.007334534,6
atlanta_062,0.966335553,1.012041454,0.777340358,0.828367994,0.614092447,0.559751009,0.891795397,0.961810383,1.0097981,-0.002758322,7
atlanta_063,3.70265551,3.642809358,4.217667014,3.819727602,3.977013997,4.059480453,4.307444527,4.049701039,4.027953778,0.490195999,2
atlanta_064,3.470338332,3.542737307,3.91734704,3.719285403,3.913972056,3.923209074,3.817973196,4.011442303,3.736043336,0.412351831,3
atlanta_065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_066,4.145229439,4.098933568,4.472904145,3.842933884,4.188654951,4.492392507,4.532351621,4.235793354,4.204553835,0.23603842,2
atlanta_067,0.926824439,0.889676223,0.718395918,0.506761365,0.5853992,1.10110754,0.761924267,0.744739967,0.726110848,-0.092710043,2
atlanta_068,4.2201327,4.290741489,4.680753376,4.211001685,4.544417245,4.672468561,4.740056905,4.601700365,4.50928775,0.44492846,1
atlanta_069,2.93395879,3.003807452,3.39549334,3.237734078,3.419598442,3.400663019,3.188600926,3.419657194,3.206751202,0.347977164,1
atlanta_070,3.107373624,2.985662961,3.276292492,3.208131685,3.377255756,3.434197519,3.242171051,3.270289382,3.1134816,0.17268902,3
atlanta_071,1.536655452,1.612603045,1.326934884,1.394163109,1.339493778,1.24325588,1.452257167,1.462986197,1.42095053,-0.135322149,5
atlanta_072,2.441742562,2.428555424,2.293989612,2.393778583,2.189904486,2.381127716,2.330069169,2.559039186,2.522193438,0.12879384,11
atlanta_073,2.501382199,2.578695376,2.234205036,2.198896031,1.924446431,2.348015228,2.312957312,2.528521245,2.579459452,0.078068395,4
atlanta_074,2.650767162,2.394518834,2.588095314,2.69565735,2.807531751,2.673547638,2.483707729,2.65839863,2.556473577,0.030596694,4
atlanta_075,1.31674644,1.298121059,1.124937323,0.989367997,1.037867444,1.513284167,1.139148809,1.265433013,1.254978539,0.0345339,2
atlanta_076,0.198202092,0.338202311,0.215700443,0.105360022,-0.032674727,0.366452375,0.178792931,0.221122501,0.227278861,-0.007942504,1
atlanta_077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_079,1.286916184,1.147739537,1.266138458,1.12358321,1.004754299,1.461984285,1.239898755,1.149554486,1.160898243,-0.035450875,1
atlanta_080,2.349035521,2.340330571,2.822615236,2.318100635,2.229002613,2.396235459,2.676677165,2.249390917,2.382584424,-0.058727445,1
atlanta_081,2.709509586,2.713958164,3.35104234,2.800863799,2.854752263,2.96994844,3.154302057,2.730514562,2.830232549,0.051360853,1
atlanta_082,2.20156882,2.049348069,2.642385016,2.190984311,2.238156677,2.319223668,2.546023657,2.109189159,2.208495755,0.023791275,2
atlanta_083,1.562966438,1.370405461,1.667653232,1.441315535,1.585077309,1.469552164,1.771193946,1.367373891,1.427232227,-0.052785583,1
atlanta_084,1.783766816,1.801459077,2.165229353,1.928666134,1.926853847,2.05505976,2.187620887,1.983246352,1.820264501,0.143754876,6
atlanta_085,4.916792104,4.61428619,4.938689528,4.673664223,4.420027259,4.654662528,4.872835104,4.59792261,4.761592514,-0.136766607,4
atlanta_086,3.379589442,3.368598583,3.421127773,3.252753571,3.070760139,3.196471853,3.33274766,3.392329217,3.391922915,-0.018752692,3
atlanta_087,1.730883508,1.841664873,1.614073901,1.642748128,1.490660646,1.53012576,1.66557472,1.779440754,1.80450197,0.01636346,8
atlanta_088,1.102889305,1.662008257,1.205166136,0.869582538,0.876040776,1.007847461,1.196623559,1.019784552,1.172701547,-0.25437373,4
atlanta_089,1.07543354,0.905360656,1.195425045,0.993521921,1.128402891,1.109902925,1.197957266,1.113698292,1.016448578,0.085086418,7
atlanta_090,2.950823051,2.895321809,2.698382588,2.730966329,2.345657258,2.737130399,2.866127439,2.924989843,2.995422068,0.10150899,4
atlanta_091,3.821254819,3.547433099,3.961459533,3.582891393,3.161821762,3.362466368,3.882101871,3.336664317,3.613396692,-0.307146534,3
atlanta_092,3.006401527,3.090893302,3.33038696,2.976090639,2.575227483,2.748424286,3.32944364,2.8034217,3.092012516,-0.124920641,1
atlanta_093,2.192799357,2.412751406,2.638809716,2.252866225,1.912551381,2.142702229,2.582866217,2.18953878,2.415514148,-0.000138285,2
atlanta_094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_095,5.138652705,4.679604277,5.262429081,4.683157675,4.40133794,4.463938646,5.041411437,4.371358881,4.723883138,-0.540844796,2
atlanta_096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
atlanta_098,0.962517605,0.901150816,0.615825216,0.690736784,0.487000368,0.654872368,0.896685944,1.162387976,0.938421169,0.202197129,5
atlanta_099,0.930899197,0.764962607,0.802454737,0.676011332,0.515362894,0.599216821,0.732783783,1.103720338,0.797918014,0.044702007,5
atlanta_100,-0.336914165,-0.640780719,-0.433993735,-0.719214273,-1.244676742,-0.973964301,-0.82588526,-0.676712373,-0.785137176,-0.489870014,13
atlanta_101,2.038415751,2.174963198,2.415112476,2.468210246,2.722773523,2.581906587,2.174798234,2.410817848,2.421384554,0.312084503,1
atlanta_102,0.20748997,-0.178829391,-0.131342747,-0.217787438,-0.800174627,-0.390487174,-0.265994337,-0.051416662,-0.233351017,-0.303854779,14
atlanta_103,4.636944841,4.591316895,4.715480664,4.321466449,4.295953035,4.535944831,4.78425832,4.206527588,4.299274668,-0.35883582,1
atlanta_104,1.357153068,1.763914139,1.679351881,1.850367506,2.141151446,1.898065432,1.503348752,1.669545433,1.893725333,0.259812435,2
