nbhd_code,PM25_1998,PM25_1999,PM25_2000,PM25_2001,PM25_2002,PM25_2003,PM25_2004,PM25_2005,PM25_2006,PM25_2007,PM25_2008,PM25_2009,PM25_2010,PM25_2011,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PMTREND
atlanta_029,19.53875969,17.09302326,14.55426357,13.53875969,15.55426357,14,14.53875969,15.53875969,14.53875969,14.53875969,9.53875969,9.92248062,10.55426357,11.55426357,10,9.631782946,9.554263566,10.53875969,-4.852441181
atlanta_005,18.69957983,16.16596639,14.48319328,13,15,13.69957983,13.97478992,15,14,14,9,9.525210084,10.48319328,11.16596639,9.699579832,9.657563025,9.165966387,10,-4.635702578
atlanta_036,18.14973262,16,14.14973262,13,15,14,14,15,14,14,9,9.14973262,10.14973262,11,10,9.14973262,9,10,-4.61040932
atlanta_039,18.48089172,16.42993631,14.48089172,13,15,13.48089172,13.48089172,15,14,14,9,9.48089172,10.48089172,11.42993631,10,9.48089172,9.429936306,10,-4.523278973
atlanta_053,19,16,14.64954683,13,15,14,14,15,14,14,9,9.649546828,10.70996979,11,10,9.806646526,9,10,-4.672241293
atlanta_051,19,16,14.36036036,13,15,14,14,15,14,14,9,9.36036036,10.36036036,11,10,9.36036036,9,10,-4.733495105
atlanta_056,18.9047619,16,14.14732143,13,15,13.78125,13.78125,15,14,14,9,9.147321429,10.49702381,11,9.904761905,9.703869048,9,10,-4.626962626
atlanta_063,18.83715013,16,14,13,15,13.83715013,13.83715013,15,14,14,9,9,10.35368957,11,9.837150127,9.837150127,9,10,-4.610009533
atlanta_054,19,16.43607306,14.48173516,13,15,14,14,15,14,14,9,9.48173516,10.52739726,11.43607306,10,9.52739726,9.436073059,10,-4.668537446
atlanta_078,18.20100503,16.14070352,14.14070352,13,15,13.14070352,13.20100503,15,14,14,9,9.140703518,10.14070352,11.14070352,9.201005025,9.140703518,9.140703518,10,-4.594852489
atlanta_094,18.13533835,16,14,13,15,13,13.13533835,15,14,14,9,9,10,11,9.135338346,9,9,10,-4.607726748
atlanta_116,18.13471503,16,14,13,15,13,13.13471503,15,14,14,9,9,10,11,9.134715026,9,9,10,-4.607655989
atlanta_095,18,16,14,13,15,13.31751825,13.94160584,15,14,14,9,9,10,11,9.941605839,9,9,10,-4.556996829
atlanta_091,18.74863388,16,14,13,15,13.52185792,13.82513661,15,14,14,9,9,10,11,9.825136612,9.74863388,9,10,-4.609873285
atlanta_092,18.81042654,16,14,13,15,13.81042654,13.81042654,15,14,14,9,9,10,11,9.81042654,9.81042654,9,10,-4.634180936
atlanta_093,18.70557029,16,14,13,15,13.70557029,13.70557029,15,14,14,9,9,10,11,9.705570292,9.705570292,9,10,-4.628770396
atlanta_122,19.01801802,16.01801802,14.47972973,13.01801802,15.01801802,14,14,15,14,14.0045045,9.018018018,9.47972973,10.01801802,11.01801802,10,10,9.018018018,10,-4.686869533
atlanta_121,19.83973758,16.86223055,14.8809747,13.83973758,15.83973758,14,14,15,14,14.43298969,9.839737582,9.880974695,10.86223055,11.85098407,10,10,9.839737582,10,-4.869027964
atlanta_090,18.51348748,16,14.27938343,13,15,13.50963391,14,15,14,14,9,9.27938343,10,11,9.571290944,9.716763006,9,10,-4.632917157
atlanta_073,18.94665461,16.58318264,14.74141049,13.01084991,15.01084991,13.74141049,14,15,14,14.01084991,9.01084991,9.741410488,10.58318264,11.20162749,9.935804702,9.841772152,9.01084991,10,-4.735181214
atlanta_123,18.75664622,16,14.23517382,13,15,13.72392638,14,15,14,14,9,9.235173824,10,11,9.756646217,9.756646217,9,10,-4.661014982
atlanta_009,18.79428571,16,14,13,15,13,14,15,14,14,9,9,10,11,10,9.794285714,9,10,-4.563231608
atlanta_107,18.58333333,16.13888889,14.13888889,13,15.13888889,13.47222222,14,15,14,14,9,9.138888889,10.13888889,11.13888889,9.583333333,9.583333333,9.138888889,10,-4.637369567
atlanta_007,19,17,15,13,16,14,14,15,14,14,9,10,11,12,10,10,10,10,-4.654282766
atlanta_006,18.44668008,16,14.00804829,13,15,13.00804829,14,15,14,14,9,9.00804829,10,11,9.839034205,9.655935614,9,10,-4.540327621
atlanta_110,18.5651341,16,14.06130268,13,15,13.06130268,14,15,14,14,9,9.061302682,10,11,9.5651341,9.168582375,9,10,-4.66582842
atlanta_129,20.08570119,17.83593034,15.36663611,14.02933089,16.32493126,14.36663611,14.60219982,15.60219982,14.60219982,14.71906508,9.728230981,9.979835014,10.93813016,11.87076077,10.36663611,10.29010082,9.938130156,10.3868011,-5.101515449
