IDWHOCity,Region,iso3,Country,City_Town,PM10AnnualMean_Ug_m3,Year,NumberAndTypeOfMonitoringStations_PM10_,noteOnConvertedPM10,PM2_5AnnualMean_Ug_m3,Year_1,NumberAndTypeOfMonitoringStations_PM2_5_,noteOnConvertedPM2_5,TemporalCoverage,forAirQuality,isInterpolated,useMicroData,CountryCode,RegionCode,CoverageType,RequestYear,DataYear,DataType,PPP,PovertyLine,Mean,HeadCount,PovGap,PovGapSqr,Watts,Gini,Median,pr_mld,Polarization,ReqYearPopulation,SvyInfoID,Decile1,Decile2,Decile3,Decile4,Decile5,Decile6,Decile7,Decile8,Decile9,Decile10
35,Wpr HI,AUS,Australia,"Sydney",17,2014,"15 stations, Residential (outer urban)",measured data,8,2014,"5 stations, Residential (outer urban)",measured data,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
36,Wpr HI,AUS,Australia,"Tamworth",16,2014,"1 station, Rural (small town)",measured data,7,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
37,Wpr HI,AUS,Australia,"Townsville",17,2014,"2 stations, residential",measured data,7,2014,"-",converted from PM10,"PM10: >75%; PM2.5:NA","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
38,Wpr HI,AUS,Australia,"Upper Hunter",20,2014,"-",converted from PM2.5,8,2014,"3 stations, NA",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
39,Wpr HI,AUS,Australia,"Wagga Wagga",21,2014,"1 station, Rural (small town)",measured data,8,2014,"1 station, Rural (small town)",measured data,"PM10: NA; PM2.5:>75%","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
40,Wpr HI,AUS,Australia,"Whyalla",16,2014,"1 station, rural (small town)",measured data,7,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.epa.sa.gov.au/data_and_publications/air_quality_monitoring",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
41,Wpr HI,AUS,Australia,"Wollongong",17,2014,"3 stations, Residential (outer urban)",measured data,7,2014,"1 station, Residential (outer urban)",measured data,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
42,Wpr HI,AUS,Australia,"Wyong",15,2014,"1 station, Residential (outer urban)",measured data,6,2014,"-",converted from PM10,"PM10: NA; PM2.5:NA","http://www.environment.nsw.gov.au/AQMS/",0,1,AUS,OHI,N,2013,2010,Y,1.526641,5.5,1712.225,0.006769526,0.00499084,0.003991179,0.01251824,0.3465608,1373.717,0.2163218,-1,23.117353,AUS_N2010Y,0.0275,0.04523,0.05478,0.06344,0.0741,0.08707,0.1031,0.1243,0.1559,0.2646
43,Eur HI,AUT,Austria,"ARNOLDSTEIN",14,2013,"1 station, industrial, suburban",measured data,10,2013,"-",converted from PM10,"PM10: >75%; PM2.5:NA","European Environment Agency, Air quality e-reporting database",0,1,AUT,OHI,N,2013,2013,Y,0.8475838,5.5,1714.464,0.004742668,0.003470388,0.002667397,0.008156247,0.3075101,1469.582,0.1729781,-1,8.479375,AUT_N2013Y,0.03115,0.05,0.06034,0.07032,0.08082,0.09165,0.1051,0.1216,0.1465,0.2425
44,Eur HI,AUT,Austria,"BAD ISCHL",16,2013,"-",converted from PM2.5,12,2013,"1 station, background, suburban",measured data,"PM10: NA; PM2.5:>75%","European Environment Agency, Air quality e-reporting database",0,1,AUT,OHI,N,2013,2013,Y,0.8475838,5.5,1714.464,0.004742668,0.003470388,0.002667397,0.008156247,0.3075101,1469.582,0.1729781,-1,8.479375,AUT_N2013Y,0.03115,0.05,0.06034,0.07032,0.08082,0.09165,0.1051,0.1216,0.1465,0.2425
