ID WHO city,Region,iso3,Country,City/Town,"PM10 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"PM2.5 Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality
56,Eur HI,AUT,Austria,GRAZ,25,2013,"5 stations, background suburban",measured data,19,2013,"2 stations, background suburban",measured data,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
57,Eur HI,AUT,Austria,GROSSENZERSDORF,24,2013,-,converted from PM2.5,18,2013,"1 station, background, rural-nearcity",measured data,PM10: NA; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
58,Eur HI,AUT,Austria,HALL IN TIROL,24,2013,"1 station, traffic, urban",measured data,18,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
59,Eur HI,AUT,Austria,HALLEIN,24,2013,"1 station, traffic, urban",measured data,18,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
60,Eur HI,AUT,Austria,HARTBERG,24,2013,"1 station, background, suburban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
61,Eur HI,AUT,Austria,HEITERWANG,13,2013,"1 station, traffic, rural",measured data,10,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
62,Eur HI,AUT,Austria,HIMBERG,23,2013,"1 station, traffic, suburban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
63,Eur HI,AUT,Austria,HöCHST,21,2013,"1 station, traffic, rural",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
64,Eur HI,AUT,Austria,IMST,18,2013,"1 station, traffic, rural",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
65,Eur HI,AUT,Austria,INNSBRUCK,21,2013,"2 stations, traffic, urban",measured data,14,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
66,Eur HI,AUT,Austria,JUDENBURG,17,2013,"1 station, background, suburban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
67,Eur HI,AUT,Austria,KAPFENBERG,18,2013,"1 station, background, urban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
68,Eur HI,AUT,Austria,KEMATEN,20,2013,"1 station, traffic, urban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
69,Eur HI,AUT,Austria,KLAGENFURT,23,2013,"2 stations, traffic, urban",measured data,14,2013,"2 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
70,Eur HI,AUT,Austria,KLOSTERNEUBURG,27,2013,"1 station, traffic, urban",measured data,20,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
71,Eur HI,AUT,Austria,KNITTELFELD,21,2013,"1 station, background, urban",measured data,16,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
72,Eur HI,AUT,Austria,KREMS,24,2013,"1 station, background, urban",measured data,17,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
73,Eur HI,AUT,Austria,KUFSTEIN,17,2013,"1 station, traffic, urban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
74,Eur HI,AUT,Austria,LEOBEN,20,2013,"2 stations, background, urban",measured data,14,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
75,Eur HI,AUT,Austria,LIENZ,20,2013,"1 station, traffic, urban",measured data,15,2013,"1 station, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
76,Eur HI,AUT,Austria,LIEZEN,20,2013,"1 station, background, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
77,Eur HI,AUT,Austria,LINZ,26,2013,"3 stations, background, urban",measured data,17,2013,"3 stations, background, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
78,Eur HI,AUT,Austria,LUSTENAU,20,2013,"2 stations, background, urban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
79,Eur HI,AUT,Austria,MöDLING,21,2013,"1 station, background, suburban",measured data,15,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
80,Eur HI,AUT,Austria,MüRZZUSCHLAG,17,2013,"1 station, background, suburban",measured data,13,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
81,Eur HI,AUT,Austria,SALZBURG,25,2013,"1 station, traffic, urban",measured data,16,2013,"2 stations, traffic, urban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
82,Eur HI,AUT,Austria,SANKT ANDRä IM LAVANTTAL,24,2013,"1 station, industrial, urban",measured data,18,2013,-,converted from PM10,PM10: >75%; PM2.5:NA,"European Environment Agency, Air quality e-reporting database"
83,Eur HI,AUT,Austria,SANKT POELTEN,24,2013,"1 station, background, suburban",measured data,18,2013,"1 station, background, suburban",measured data,PM10: >75%; PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
