"nbhd_code","ndbi_2015"
"telaviv_003",0.0299384009618721
"telaviv_005",-0.0475664644386392
"telaviv_010",-0.121645632494741
"telaviv_011",-0.0699621128761098
"telaviv_012",-0.0422291031642887
"telaviv_013",-0.108417871294087
"telaviv_016",-0.110562623747665
"telaviv_018",-0.094516852689365
"telaviv_019",-0.11301226595069
"telaviv_026",-0.0744819759721697
"telaviv_027",-0.0865134248146889
"telaviv_028",-0.0242712331825041
"telaviv_025",-0.0858464441813403
"telaviv_017",-0.101588039562495
"telaviv_022",-0.0830007951625731
"telaviv_020",-0.00572118825053204
"telaviv_021",-0.063542738063884
"telaviv_023",-0.0925108735263777
"telaviv_024",-0.0869554327053533
"telaviv_070",-0.0927907068420591
"telaviv_060",-0.108197726678824
"telaviv_069",-0.0685932961569393
