"nbhd_code","Prec_all"
"telaviv_061",1.37669506266005
"telaviv_062",1.33813474275867
"telaviv_058",1.34412664806497
"telaviv_068",1.3740368594315
"telaviv_067",1.3651230118232
"telaviv_063",1.34535164985455
"telaviv_065",1.36522826697648
"telaviv_064",1.35834932327271
"telaviv_066",1.36344942143156
"telaviv_071",1.36596941947937
"telaviv_054",1.34537677434563
"telaviv_056",1.35834932327271
"telaviv_043",1.34323023840523
"telaviv_053",1.33787882328033
"telaviv_037",1.33787882328033
"telaviv_041",1.33787882328033
"telaviv_040",1.33787882328033
"telaviv_031",1.33787882328033
"telaviv_035",1.33787882328033
"telaviv_030",1.33787882328033
"telaviv_034",1.33787882328033
"telaviv_036",1.339342576662
"telaviv_057",1.34645445895389
"telaviv_032",1.35140350974952
"telaviv_006",1.3294308358838
"telaviv_033",1.33787882328033
"telaviv_029",1.33445504239669
"telaviv_038",1.33787882328033
"telaviv_039",1.33787882328033
"telaviv_042",1.33853905151728
"telaviv_052",1.33787882328033
"telaviv_055",1.35644362729555
"telaviv_044",1.32912557465559
"Johannesburg_1",1.97937187756924
"Johannesburg_2",1.93496578657168
"Johannesburg_3",1.98230850696564
"Johannesburg_6",2.0577013621309
"Johannesburg_23",2.34338160789585
"Johannesburg_125",2.51109928525432
"Johannesburg_122",2.27865631116096
"Johannesburg_119",2.33246329474811
"Johannesburg_24",2.36663578863295
"Johannesburg_18",2.34226270566716
"Johannesburg_54",2.56889355809042
"Johannesburg_55",2.56127981137015
"Johannesburg_124",2.63102903746695
"Johannesburg_68",2.61992011962232
"Johannesburg_58",2.63105497761551
"Johannesburg_29",2.55096711492485
"Johannesburg_27",2.6294390659223
"Johannesburg_26",2.41035486373618
"Johannesburg_28",2.46958629046714
"Johannesburg_25",2.36600343320134
"Johannesburg_30",2.48184476464184
"Johannesburg_31",2.49131536483765
"Johannesburg_70",2.49710392109396
"Johannesburg_39",2.48649459046486
"Johannesburg_40",2.49131536483765
"Johannesburg_82",2.56634463100025
"Johannesburg_86",2.54936545593645
"Johannesburg_88",2.55515190563587
"Johannesburg_89",2.47177867888595
"Johannesburg_85",2.46775367800917
"Johannesburg_126",2.42772564083664
"Johannesburg_98",2.50414529054372
"Johannesburg_99",2.52535507999817
"Johannesburg_117",2.58273984012024
"Johannesburg_102",2.44025519058287
"Johannesburg_90",2.54762889132063
"Johannesburg_87",2.60749385184742
"Johannesburg_69",2.58197220571061
"Johannesburg_60",2.61618732117321
"Johannesburg_67",2.61053942581592
"Johannesburg_59",2.61280427084717
"Johannesburg_123",2.59215245186702
"Johannesburg_63",2.61079601445024
"Johannesburg_62",2.61104816867945
"Johannesburg_64",2.61006034822433
"Johannesburg_66",2.60390867372171
"Johannesburg_73",2.59966644850826
"Johannesburg_74",2.51091764405611
"Johannesburg_91",2.47413181947882
"Johannesburg_103",2.37366025287751
"Johannesburg_108",2.42326596367317
"Johannesburg_107",2.49961996078491
"Johannesburg_81",2.36914763713164
"Johannesburg_75",2.49960514103504
"Johannesburg_76",2.36666399137636
"Johannesburg_116",2.33590906274174
"Johannesburg_105",2.27330446925791
"Johannesburg_72",2.43039123603082
"Johannesburg_118",2.45733862910025
"Johannesburg_65",2.47385746528458
"Johannesburg_57",2.45171551131707
"Johannesburg_61",2.51020097755849
"Johannesburg_56",2.46288055090726
"Johannesburg_32",2.20147099108847
"Johannesburg_77",1.95067372212274
"Johannesburg_78",1.99080061912415
"Johannesburg_111",2.034536311476
"Johannesburg_79",2.02351434197297
"Johannesburg_110",2.0294762544075
"Johannesburg_80",2.02237749099731
"Johannesburg_93",2.10503885689226
"Johannesburg_112",2.01848517811464
"Johannesburg_92",2.0177973126619
"Johannesburg_94",2.04289318395386
"Johannesburg_113",1.96465070668754
"Johannesburg_96",1.98634843813294
"Johannesburg_106",2.20367047800534
"Johannesburg_109",2.28833868188867
"Johannesburg_115",2.10756332210926
"Johannesburg_104",2.36778611608945
"Johannesburg_101",2.34482957493731
"Johannesburg_97",2.32675114699338
"Johannesburg_114",2.25373023719551
"Johannesburg_100",2.07652661652087
"Johannesburg_95",1.97173607349396
"Johannesburg_71",2.39030724581304
"Johannesburg_83",2.42963739384357
"Johannesburg_127",2.40988684397403
"Johannesburg_84",2.47241307484639
"Johannesburg_41",2.46335944103658
"Johannesburg_43",2.37275921471941
"Johannesburg_42",2.35802388191223
"Johannesburg_38",2.38848917821008
"Johannesburg_45",2.35802388191223
"Johannesburg_36",2.3548895821802
"Johannesburg_47",2.35802388191223
"Johannesburg_44",2.40668953769694
"Johannesburg_49",2.3208602881246
"Johannesburg_129",2.26616160784527
"Johannesburg_48",2.3121860624412
"Johannesburg_46",2.33751757890363
"Johannesburg_34",2.31352838108516
"Johannesburg_51",2.25963878631592
"Johannesburg_52",2.25963878631592
"Johannesburg_128",2.28194392614513
"Johannesburg_53",2.11648368537054
"Johannesburg_50",2.25963878631592
"Johannesburg_130",2.20926154828417
"Johannesburg_20",2.12197586420899
"Johannesburg_14",2.10799908638
"Johannesburg_13",2.10455429017953
"Johannesburg_10",2.076837690961
"Johannesburg_9",2.16632504201573
"Johannesburg_8",2.09145381096096
"Johannesburg_11",2.25596995180515
"Johannesburg_12",2.22595202187484
"Johannesburg_19",2.25988006591797
"Johannesburg_16",2.14762989037299
"Johannesburg_15",2.25986522752905
"Johannesburg_21",2.15843258207362
"Johannesburg_33",2.25988006591797
"Johannesburg_35",2.34158608116131
"Johannesburg_37",2.28767964167357
"Johannesburg_22",2.31906869482259
"Johannesburg_17",2.2607816059404
"Johannesburg_120",2.10091464733206
"Johannesburg_121",2.08386965757183
"Johannesburg_7",2.00087009250313
"Johannesburg_4",1.98351884743714
"Johannesburg_5",2.00597632808297
"jakarta_005",6.54438515929109
"jakarta_001",6.91278014159638
"jakarta_021",6.51118308430926
"jakarta_018",6.75357960000456
"jakarta_008",6.96550512317501
