nbhd_code,DEM_all
hochiminh_013,13.32689794
hochiminh_009,10.26691898
hochiminh_015,10.62566009
hochiminh_022,9.738849456
hochiminh_023,6.569465159
hochiminh_003,4.173034755
hochiminh_018,6.441005782
hochiminh_020,5.821535947
hochiminh_017,13.54814272
hochiminh_011,8.614733039
hochiminh_010,10.14732315
hochiminh_016,6.748039383
singapore_034,5.976814036
singapore_032,4.532444982
singapore_009,14.24606876
singapore_010,14.6105263
singapore_008,12.37688268
singapore_014,19.62788794
singapore_012,20.38586589
singapore_033,12.60841627
singapore_015,20.4011446
singapore_019,18.19570661
singapore_038,44.7342691
singapore_031,30.6976369
singapore_027,55.35682119
singapore_055,24.04998716
singapore_043,44.27085094
singapore_048,24.43620617
singapore_013,28.6482536
singapore_023,17.10692619
singapore_037,20.45781786
singapore_017,27.24467924
singapore_002,33.99150179
singapore_021,26.86854963
singapore_007,18.16468407
singapore_036,12.56731645
singapore_018,7.894495513
singapore_030,11.28476915
singapore_022,19.09701405
singapore_001,15.56909858
singapore_020,24.33424392
singapore_050,19.96316197
singapore_051,23.92150525
singapore_049,21.45513836
singapore_047,13.26014774
singapore_029,14.5190871
singapore_052,18.15956047
singapore_045,12.6446805
singapore_054,6.905293792
singapore_004,9.075130029
singapore_046,14.52336205
singapore_024,21.81670063
singapore_003,23.08296785
singapore_011,25.45121418
singapore_005,10.11972696
singapore_042,15.16278605
singapore_028,28.55046465
singapore_040,32.73485531
singapore_016,40.21904369
singapore_044,29.87470872
singapore_039,27.47911612
singapore_053,16.94558654
singapore_025,21.18602344
singapore_035,17.75100139
singapore_006,8.76189828
singapore_041,6.588916819
singapore_026,5.001736933
manila_014,53.07391585
manila_001,59.00600072
manila_017,18.4773946
manila_009,6.634532226
manila_004,9.249321398
manila_006,9.725827079
manila_015,23.071171
manila_007,22.81403866
manila_012,15.3810831
manila_005,23.76589511
manila_016,13.43368257
manila_003,20.99292682
manila_013,7.690663323
manila_011,11.79273522
manila_010,18.92092719
manila_002,23.88195724
manila_008,35.69779264
seoul_005,158.6570238
seoul_008,67.17877854
seoul_009,31.60887825
seoul_010,21.04966585
seoul_014,123.9693957
seoul_025,131.9702736
seoul_013,76.80716254
seoul_012,23.75332987
seoul_023,33.25486893
seoul_011,28.54627893
seoul_007,21.38534007
seoul_006,53.02268656
seoul_004,85.87003697
seoul_003,49.2892235
seoul_024,74.91856088
seoul_018,95.07624038
seoul_022,25.44303353
seoul_020,27.54451276
seoul_002,30.14479679
seoul_021,42.43461099
seoul_001,35.24931494
seoul_015,89.79056366
seoul_016,95.01791203
seoul_019,74.28504947
seoul_017,143.8591162
beijing_005,386.920609
beijing_009,733.9884749
beijing_003,33.77347797
beijing_006,67.84876614
beijing_012,142.7634793
beijing_007,88.44836629
beijing_004,51.55884488
beijing_015,55.22008492
beijing_002,38.05382878
beijing_001,283.2174047
beijing_016,735.4227811
beijing_008,535.0644626
beijing_013,47.21642066
beijing_014,23.5121674
beijing_010,354.9941788
beijing_011,223.5440117
delhi_001,216.6354208
delhi_009,245.4417591
delhi_005,221.8826
delhi_008,225.3779491
delhi_006,225.3746572
delhi_004,207.7421177
delhi_003,210.112054
delhi_002,214.9693966
delhi_007,217.8024157
bangalore_184,878.0916584
