nbhd_code,ndbi_all
amsterdam_042,-0.193469714
amsterdam_038,-0.144719701
amsterdam_034,-0.18437679
amsterdam_026,-0.109469895
amsterdam_033,-0.159202542
amsterdam_032,-0.158493968
amsterdam_024,-0.136781884
amsterdam_023,-0.162762765
amsterdam_025,-0.149043193
amsterdam_028,-0.104186892
amsterdam_027,-0.156478355
amsterdam_015,-0.12445902
amsterdam_017,-0.102971746
amsterdam_016,-0.10374667
amsterdam_014,-0.084216624
amsterdam_013,-0.132276641
amsterdam_012,-0.124146112
amsterdam_011,-0.078404607
amsterdam_089,-0.068575455
amsterdam_083,-0.111370813
amsterdam_084,-0.194241473
amsterdam_036,-0.230034674
amsterdam_037,-0.227202935
amsterdam_035,-0.139210059
amsterdam_040,-0.131651635
amsterdam_085,-0.234427902
amsterdam_006,-0.068739848
amsterdam_088,-0.19868835
amsterdam_078,-0.131474118
amsterdam_079,-0.159413476
amsterdam_090,-0.091630414
amsterdam_082,-0.237454665
amsterdam_081,-0.116801319
amsterdam_092,-0.184494579
amsterdam_087,-0.19140756
amsterdam_091,-0.294271376
amsterdam_086,-0.20824945
amsterdam_080,-0.146723197
amsterdam_069,-0.179686316
amsterdam_010,-0.175376578
amsterdam_009,-0.160496727
amsterdam_065,-0.150355908
amsterdam_067,-0.161826518
amsterdam_068,-0.221035784
amsterdam_070,-0.180552114
amsterdam_075,-0.205369997
amsterdam_076,-0.18216356
amsterdam_074,-0.173212123
amsterdam_066,-0.092378776
amsterdam_064,-0.142270552
amsterdam_077,-0.206106506
amsterdam_059,-0.186610908
amsterdam_058,-0.142209537
amsterdam_063,-0.102072804
amsterdam_050,-0.119413948
amsterdam_049,-0.132697272
amsterdam_057,-0.155854531
amsterdam_048,-0.132033974
amsterdam_008,-0.133371742
amsterdam_004,-0.158262749
amsterdam_005,-0.124036215
amsterdam_002,-0.115337235
amsterdam_001,-0.1260771
amsterdam_003,-0.125917594
amsterdam_007,-0.08936084
amsterdam_056,-0.139900335
amsterdam_060,-0.21608785
amsterdam_062,-0.217542263
amsterdam_093,-0.167154154
amsterdam_097,-0.193935492
amsterdam_094,-0.163900775
amsterdam_095,-0.218965513
amsterdam_099,-0.273439931
amsterdam_096,-0.273675838
amsterdam_098,-0.230979701
amsterdam_073,-0.06045339
amsterdam_072,-0.00605601
amsterdam_071,-0.10107042
london_031,-0.1351383
london_026,-0.14709658
london_016,-0.181059184
london_001,-0.107528814
london_025,-0.079401402
london_030,-0.079612493
london_011,-0.13334091
london_023,-0.128994644
london_003,-0.131737737
london_005,-0.181196487
london_008,-0.153604199
paris_012,-0.13502667
paris_016,-0.163319068
paris_019,-0.045859925
paris_018,-0.039095908
paris_020,-0.043309467
paris_011,-0.020514616
paris_010,-0.018925778
paris_003,-0.020371683
paris_004,-0.04915676
paris_002,-0.013410285
paris_009,-0.02951218
paris_001,-0.052497349
paris_006,-0.051657028
paris_007,-0.087570163
paris_008,-0.069970721
paris_017,-0.052683832
paris_015,-0.048726031
paris_014,-0.067297332
paris_013,-0.039697696
paris_005,-0.051236717
london_021,-0.146823048
london_029,-0.13930102
london_028,-0.118636394
london_022,-0.111352372
london_007,-0.006216655
london_032,-0.117634439
london_033,-0.103457441
london_006,-0.125630999
london_020,-0.101827869
london_013,-0.090501895
london_024,-0.127215228
london_027,-0.154636339
london_018,-0.138125319
london_009,-0.11839086
london_004,-0.114161714
london_002,-0.16370216
london_015,-0.150293797
london_017,-0.154278887
london_010,-0.16563242
london_014,-0.12932116
london_019,-0.101197183
london_012,-0.116715567
montreal_13,-0.23325677
montreal_27,-0.139503384
montreal_2,-0.140462492
montreal_5,-0.212784523
montreal_17,-0.300719897
montreal_7,-0.160018861
montreal_33,-0.229594886
montreal_3,-0.182976207
montreal_28,-0.212720355
montreal_4,-0.179106861
montreal_24,-0.20828181
montreal_34,-0.320157097
montreal_22,-0.176038946
montreal_25,-0.249855704
montreal_29,-0.189525764
montreal_15,-0.143131448
montreal_1,-0.197241183
montreal_19,-0.12699976
montreal_11,-0.215741977
montreal_14,-0.167607387
montreal_6,-0.125874264
montreal_18,-0.18180013
montreal_9,-0.174331822
montreal_16,-0.133157597
montreal_10,-0.18810249
montreal_12,-0.292458863
montreal_8,-0.356889962
montreal_32,-0.403692063
montreal_31,-0.294550692
montreal_20,-0.300461434
montreal_21,-0.387679285
montreal_26,-0.221134667
montreal_23,-0.232487344
montreal_30,-0.304929765
vancouver_039,-0.145762815
vancouver_040,-0.112851515
vancouver_041,-0.135798421
vancouver_042,-0.12103545
vancouver_035,-0.129103076
vancouver_034,-0.076481096
vancouver_030,-0.050422937
vancouver_106,-0.079548086
vancouver_033,-0.104577921
vancouver_036,-0.110877558
vancouver_037,-0.124041557
vancouver_038,-0.140526959
vancouver_043,-0.122313023
vancouver_044,-0.162565962
vancouver_071,-0.134905532
vancouver_047,-0.131000367
vancouver_046,-0.06114063
vancouver_045,-0.137837201
vancouver_090,-0.133097012
vancouver_073,-0.147067363
vancouver_077,-0.134261203
vancouver_068,-0.128010825
vancouver_078,-0.133177488
vancouver_066,-0.098923323
vancouver_049,-0.068256804
vancouver_022,-0.066678754
vancouver_023,-0.061867038
vancouver_029,-0.058487945
vancouver_104,-0.097031782
vancouver_024,-0.047834373
vancouver_015,-0.112777911
vancouver_014,-0.109048828
vancouver_012,-0.116422028
vancouver_013,-0.146039203
